ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
220157_x_at,6.875208688117646,5.763392983240385,-1.1118157048772614,2.506576723998857e-07,2.8501343962319505e-06
220161_s_at,9.431392015470589,7.4840414567596145,-1.9473505587109745,1.075146714866982e-06,1.0747331968997255e-05
220176_at,4.859392222235293,3.317272571778846,-1.542119650456447,2.123391677101039e-15,9.7634873078768e-14
220177_s_at,3.6999591105294116,5.607286002076924,1.9073268915475121,0.00011851681381455309,0.0007456517788108926
220183_s_at,4.608244422941176,3.3728375533846155,-1.2354068695565608,1.2191698813490818e-06,1.201102399894432e-05
220189_s_at,4.878177310941176,6.026932627769231,1.1487553168280549,2.8567828396669593e-06,2.6060563363894863e-05
220192_x_at,4.860705637411764,8.480935488913461,3.6202298515016977,2.6719870047406514e-10,5.385316792161743e-09
220199_s_at,7.200311524823529,5.238628077,-1.9616834478235283,1.2802388646164023e-08,1.8638078685489098e-07
220213_at,3.4405424969411764,2.3798432033365384,-1.060699293604638,6.006019740587853e-28,2.023472539639163e-25
220221_at,4.099660053117647,5.522360639259616,1.4227005861419686,5.912432890271725e-10,1.1165905699589636e-08
220233_at,5.655700895058823,3.953229544057692,-1.702471351001131,6.051376999071997e-08,7.79509334983126e-07
220244_at,5.680453961647059,4.6044998655288465,-1.0759540961182124,1.726149592256047e-07,2.023443268808909e-06
220261_s_at,5.1964732151764705,4.192665685,-1.0038075301764708,0.000707441045459949,0.0035954395027617612
220266_s_at,5.590801989941177,2.7961354402980763,-2.7946665496431007,3.824397457903463e-27,1.1532143030658183e-24
220272_at,4.533510689941176,3.3710820026153843,-1.1624286873257916,9.844110698298272e-09,1.4659801304295264e-07
220276_at,4.070681291705883,2.7590284206538462,-1.3116528710520368,1.119652708364334e-06,1.1157481316380681e-05
220318_at,3.379323025235294,5.1225765167692305,1.7432534915339364,1.2240276044042907e-07,1.4808993247218787e-06
220326_s_at,6.434608537352942,3.925143466634615,-2.5094650707183264,1.733447412673178e-21,2.1749385364664228e-19
220327_at,6.2818277523529416,2.7444652182500002,-3.5373625341029413,7.072709763495395e-36,1.2452304070381132e-32
220329_s_at,5.791934039941176,4.554459776951924,-1.2374742629892523,0.00015083301767586355,0.0009217685893775565
220334_at,3.5735659239411763,2.373002368413461,-1.2005635555277152,7.618560992778696e-16,3.7292685239898515e-14
220349_s_at,5.522312418529412,6.655469995990385,1.133157577460973,1.8643292554828736e-08,2.647066244406862e-07
